city,timestamp,temperature,season
New York,2010-01-01,-4.445900765748478,winter
New York,2010-01-02,-1.0626766271642458,winter
New York,2010-01-03,-2.4653983009416844,winter
New York,2010-01-04,2.599525197103966,winter
New York,2010-01-05,-5.820065577562284,winter
New York,2010-01-06,4.329319392947333,winter
New York,2010-01-07,3.8272592986184497,winter
New York,2010-01-08,10.46122167174043,winter
New York,2010-01-09,4.624354348562989,winter
New York,2010-01-10,2.591292067875872,winter
New York,2010-01-11,0.656571333814153,winter
New York,2010-01-12,-5.533203156112222,winter
New York,2010-01-13,0.28781542927775217,winter
New York,2010-01-14,4.7324275435347545,winter
New York,2010-01-15,3.967047925388234,winter
New York,2010-01-16,3.7765510968385274,winter
New York,2010-01-17,-4.077829902280087,winter
New York,2010-01-18,4.847814682971283,winter
New York,2010-01-19,-2.4803488740186994,winter
New York,2010-01-20,10.211743336700167,winter
New York,2010-01-21,-1.5712080919841096,winter
New York,2010-01-22,-3.6714076130559405,winter
New York,2010-01-23,2.9642042195988894,winter
New York,2010-01-24,-9.0931637077441,winter
New York,2010-01-25,1.9332021612695605,winter
New York,2010-01-26,-0.705060890493012,winter
New York,2010-01-27,-2.525902547518987,winter
New York,2010-01-28,2.224883368208848,winter
New York,2010-01-29,-0.6319171870304854,winter
New York,2010-01-30,-1.1679401090877386,winter
New York,2010-01-31,8.727710231091173,winter
New York,2010-02-01,3.230554809363648,winter
New York,2010-02-02,-2.8710774889548043,winter
New York,2010-02-03,-1.8348266906137642,winter
New York,2010-02-04,3.683514716659812,winter
New York,2010-02-05,11.6880829471093,winter
New York,2010-02-06,0.4465978664828251,winter
New York,2010-02-07,14.340811176836766,winter
New York,2010-02-08,-6.928446900944322,winter
New York,2010-02-09,-8.8046436460187,winter
New York,2010-02-10,1.129417731492329,winter
New York,2010-02-11,-6.971965129864185,winter
New York,2010-02-12,5.121158610120809,winter
New York,2010-02-13,-11.569919814666278,winter
New York,2010-02-14,0.13915582988269265,winter
New York,2010-02-15,2.6540181887748835,winter
